scenario,check_name,expected,actual,status,severity,notes
Scenario A - Production missing live data,final_readiness_remains_no_go,NO-GO,NO-GO,PASS,INFO,
Scenario A - Production missing live data,roster_map_needs_data,NEEDS DATA,NEEDS DATA,PASS,INFO,
Scenario A - Production missing live data,role_map_needs_data,NEEDS DATA,NEEDS DATA,PASS,INFO,
Scenario A - Production missing live data,injury_map_needs_data,NEEDS DATA,NEEDS DATA,PASS,INFO,
Scenario A - Production missing live data,market_odds_map_needs_data,NEEDS DATA,NEEDS DATA,PASS,INFO,
Scenario A - Production missing live data,production_has_zero_qualified_edges,0,0,PASS,INFO,
Scenario A - Production missing live data,no_live_betting_output_created,False,False,PASS,INFO,
Scenario A - Production missing live data,no_fake_odds_added_to_production,0,0,PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_roster_gate_ready,all READY,['READY'],PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_role_gate_ready,all READY,['READY'],PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_injury_gate_ready,all READY,['READY'],PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_odds_gate_ready,all READY,['READY'],PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_implied_probabilities_valid,0..1,True,PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_edges_calculate,edge_over numeric,True,PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_qualified_edge_created,>=1 synthetic Qualified Edge,4,PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_outputs_labeled_test_only,SYNTHETIC TEST ONLY,True,PASS,INFO,
Scenario B - Synthetic all-gates-ready,production_final_readiness_restored_no_go,NO-GO,NO-GO,PASS,INFO,
Scenario B - Synthetic all-gates-ready,production_files_restored,same hashes before/after,True,PASS,INFO,
Scenario B - Synthetic all-gates-ready,no_live_betting_output_created_after_dry_run,False,False,PASS,INFO,
Scenario B - Synthetic all-gates-ready,synthetic_files_do_not_leak_to_production_gate_folders,0,0,PASS,INFO,
