file_path,google_sheet_tab,start_cell,import_method,required_for_projection,required_for_betting,current_status,notes
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\schedule_gate_import.csv,Schedule Gate,A13,File -> Import -> Replace data at selected cell,Yes,Yes,READY,"Target schedule rows. If missing, gate remains NEEDS DATA. Do not fabricate schedule data."
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\roster_gate_import_template.csv,Roster Gate,A13,File -> Import -> Replace data at selected cell,Yes,Yes,NEEDS DATA,Current team verification template. TEAM_VERIFY means DO NOT USE.
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\role_gate_import_template.csv,Role Gate,A13,File -> Import -> Replace data at selected cell,Yes,Yes,NEEDS DATA,Role confidence and route/snap context. Unknown role blocks high-confidence live use.
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\injury_gate_import_template.csv,Injury Gate,A13,File -> Import -> Replace data at selected cell,Yes,Yes,NEEDS DATA,"Availability gate. Unknown, Out, IR, Doubtful, or Inactive blocks or downgrades live use."
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\market_odds_gate_import_template.csv,Market Odds Gate,A14,File -> Import -> Replace data at selected cell,No,Yes,NEEDS DATA,Receptions odds template. No odds means no betting edge should be produced.
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\live_readiness_export.csv,Live Readiness,optional review import / do not overwrite formulas unless instructed,"Review only, or import to a scratch area unless intentionally refreshing formulas",Review,Review,NO-GO,Machine-readable gate summary. Avoid overwriting formula sections unless you intend to refresh them.
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets\forward_projection_blockers.csv,Forward Readiness or separate blockers review tab,A1,File -> Import -> Replace data at selected cell,Review,Review,NO-GO,Current blockers preventing forward projection and betting use.
C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\outputs\google_sheets_receptions_historical_test.csv,Receptions Model Test,A1,File -> Import -> Replace data at selected cell,No,No,HISTORICAL TEST ONLY,Historical-test model board only. Not live betting output.
outputs/market_edges/receptions_line_ladder.csv,Line Ladder,A1,replace data at selected cell,false,false,HISTORICAL TEST ONLY,Optional research import
outputs/market_edges/receptions_line_ladder_top_by_line.csv,Line Ladder Top,A1,replace data at selected cell,false,false,HISTORICAL TEST ONLY,Optional top-by-line research import
