player_id,player_name,team,opponent,position,overall_signal_score,signal_tier,top_positive_driver_1,top_positive_driver_2,top_positive_driver_3,top_negative_driver_1,top_negative_driver_2,top_negative_driver_3,driver_notes
,S.Barkley,PHI,,RB,76.1,STRONG_SIGNAL,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Chase,CIN,,WR,76.1,STRONG_SIGNAL,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Taylor,IND,,RB,76.1,STRONG_SIGNAL,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,K.Murray,ARI,SF,QB,76.1,STRONG_SIGNAL,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,P.Nacua,LA,,WR,76.03,STRONG_SIGNAL,projection strength: 99.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Higgins,CIN,,WR,75.96,STRONG_SIGNAL,projection strength: 99.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Thomas,JAX,,WR,75.95,STRONG_SIGNAL,projection strength: 99.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Henry,BAL,,RB,75.94,STRONG_SIGNAL,projection strength: 99.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Jefferson,MIN,,WR,75.88,STRONG_SIGNAL,projection strength: 99.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Jeudy,CLE,,WR,75.83,STRONG_SIGNAL,projection strength: 99.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Robinson,ATL,,RB,75.74,STRONG_SIGNAL,projection strength: 99.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,L.McConkey,LAC,,WR,75.74,STRONG_SIGNAL,projection strength: 99.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,A.St. Brown,DET,,WR,75.69,STRONG_SIGNAL,projection strength: 99.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Moore,CHI,,WR,75.62,STRONG_SIGNAL,projection strength: 98.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,K.Williams,LA,,RB,75.61,STRONG_SIGNAL,projection strength: 98.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Shavers,BUF,,WR,75.6,STRONG_SIGNAL,projection strength: 98.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Adams,NYJ,,WR,75.48,STRONG_SIGNAL,projection strength: 98.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.McLaurin,WAS,,WR,75.42,STRONG_SIGNAL,projection strength: 98.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,Ja.Williams,DET,,WR,75.38,STRONG_SIGNAL,projection strength: 98.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
