Player Name,Player ID,Team,Position,Injury Status,Practice Status,Game Status,Availability Risk,Confidence Penalty,Projection Action,Manual Override,Source,Updated At,Validation Status,Notes
J.Chase,00-0036900,CIN,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
P.Nacua,00-0039075,LA,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
T.Higgins,00-0036410,CIN,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
B.Thomas,00-0039893,JAX,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
J.Jeudy,00-0036407,CLE,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
J.Jefferson,00-0036322,MIN,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
A.St. Brown,00-0036963,DET,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
D.Moore,00-0034827,CHI,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
L.McConkey,00-0039915,LAC,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
D.Adams,00-0031381,NYJ,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
T.McLaurin,00-0035659,WAS,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
D.Bell,00-0037257,CLE,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
J.Jennings,00-0036259,SF,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
M.Evans,00-0031408,TB,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
M.Nabers,00-0039337,NYG,WR,Unknown,Unknown,Unknown,Unknown,20,Monitor,,manual injury gate required,2026-07-08T00:15:56+00:00,NEEDS DATA,Unknown injury status blocks live use. See outputs/injuries/current_injury_map_status.csv and current_injury_needs_review.csv.
