player_id,player_name,team,opponent,position,primary_market_family,all_families_count,best_signal_score,overall_signal_score,signal_tier,recommended_user_action,signal_explanation,top_signal_reason,review_reason,blocked_reason,top_positive_driver_1,top_positive_driver_2,top_positive_driver_3,top_negative_driver_1,top_negative_driver_2,top_negative_driver_3,green_signal_count,yellow_signal_count,red_flag_count,missing_signal_count,data_quality_score,readiness_status,roster_status,role_status,injury_status,usage_status,final_readiness
,S.Barkley,PHI,,RB,receiving,2,76.1,76.1,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Chase,CIN,,WR,receiving,1,76.1,76.1,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Taylor,IND,,RB,receiving,2,76.1,76.1,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,K.Murray,ARI,SF,QB,rushing,2,76.1,76.1,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 100.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,P.Nacua,LA,,WR,receiving,1,76.03,76.03,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.8; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,T.Higgins,CIN,,WR,receiving,1,75.96,75.96,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.7; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,B.Thomas,JAX,,WR,receiving,1,75.95,75.95,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.7; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,D.Henry,BAL,,RB,receiving,2,75.94,75.94,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.6; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Jefferson,MIN,,WR,receiving,1,75.88,75.88,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.5; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Jeudy,CLE,,WR,receiving,1,75.83,75.83,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.8. Main support: projection strength: 99.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.4; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
