viewport,page,pass,primary_question_answerable,complete_table_required,methodology_required,advanced_research_required,horizontal_overflow,max_primary_situational_metrics,reason
390x844,Home,True,True,False,False,False,False,4,Prioritized Week 17 situations and factual counts appear before tables or methodology.
390x844,Team Role Breakdown,True,True,False,False,False,False,2,Role hierarchy leaders answer ownership before the complete table.
390x844,Player Role Profile,True,True,False,False,False,False,5,Plain-language summary and Season/Last 8/Last 4/Last 2 answer the current-role question; the RB fingerprint has five contexts.
390x844,Game Usage Review,True,True,False,False,False,False,5,Team totals and leading-role cards explain the game before technical details.
390x844,Reports,True,True,False,False,False,False,3,"The selected question, purpose, and top factual cards precede the complete report table."
390x844,Advanced Research,True,True,False,False,False,False,3,"Active conditions, sample, and result cards remain visible; full rows are optional."
1440x900,Home,True,True,False,False,False,False,4,Weekly situations are reviewable without opening methodology or tables.
1440x900,Team Role Breakdown,True,True,False,False,False,False,2,Role hierarchy and recent movement answer the page question first.
1440x900,Player Role Profile,True,True,False,False,False,False,5,Window summary and compact role fingerprint answer current assignment.
1440x900,Game Usage Review,True,True,False,False,False,False,5,Team totals and role leaders precede player detail and technical fields.
1440x900,Reports,True,True,False,False,False,False,3,Distinct report purpose and top findings precede the complete table.
1440x900,Advanced Research,True,True,False,False,False,False,3,"Preset/filter state, sample, and results are explicit without opening player-week rows."
